video_id,channel_id,category_id
-putyQLm6rQ,UC-ss1l2vO46QAgyCsPRIVDA,27
-qATOudDHbs,UCGkzF25IZBE1SF9ykM64xEA,24
-QGy4nHlszY,UC-ss1l2vO46QAgyCsPRIVDA,27
-r_PQ2K-x8U,UC_BPD0TBnFtRExZOhIFEQYQ,20
-rosA-touPI,UCr8qGT-Mv9tdCo-aPr06REQ,1
-rvn6ib2jpE,UC1Q3UfVjchyhbtyJXc_mu5w,24
-S2AbW0e6kc,UCckltLEhFLv8Xz_lQhYfwmg,25
-s3ACophLJs,UCCK3OZi788Ok44K97WAhLKQ,25
-S6noMoO2bQ,UCfK5mYo5nvU4d4vkguhSn6Q,24
-T_NDq9TaA0,UCYFn7BOOlmL21iNJ6q5IDfg,24
-TGuFEtHJTc,UCCK3OZi788Ok44K97WAhLKQ,25
-UB5ohPgqUg,UCEjCyBoWP57QRkmFRz-aOGw,27
-ubadmb6xqY,UCs_mHlm5_C82W5WCIJaSMbQ,22
-ubJYmmBVnc,UCCK3OZi788Ok44K97WAhLKQ,25
-UNW-zNvXDQ,UCe13xXtdfx_n0_z1qeXV6_g,10
-UZNv9of3Ag,UCdTL_n9uC2_DlLX7ohcKpVQ,24
-VcIil6xKkc,UCYG2PZN2DImFqoTcj983iqA,24
-VMPn1p8jSU,UCckltLEhFLv8Xz_lQhYfwmg,25
-VRpyxxs1gM,UCCK3OZi788Ok44K97WAhLKQ,25
-wIVbyzBiDc,UCYFn7BOOlmL21iNJ6q5IDfg,24
-WKsHjn9BtQ,UCRnC_XIuIVFKWphUcLd4MVA,27
-xj83ciwDQc,UCMQYRNX1Fg-HJ8Ey7Z3WPrA,24
-xJEfrWFOCc,UCjK3LREYZUrNKnk56Prhe4w,29
-xl3FAT8ciQ,UC4UaWbUUwVvCxWNqhb4f16Q,22
-Xq7SGEwWBY,UCDm4BW0Q5d-zASSuRyvPGXw,22
-xwEil0Pk30,UCETxOvOv9_44-CUzsPlzyxQ,28
-y1GejiwQSw,UCCK3OZi788Ok44K97WAhLKQ,25
-YHGg6YMmUE,UCKS1HX4moHCcDBZnM9k4giw,1
-ymKjNh9WQI,UCYG2PZN2DImFqoTcj983iqA,24
-YUB_CB37kA,UCRtAu8OVYVfuNZmTV-Ug0zA,27
-Z6hio-D4nM,UCGkzF25IZBE1SF9ykM64xEA,24
-Zc_v7LfT0M,UCWqN5l7FwMO6-gT8Dg9mx5A,22
-ZCh4m9W2H4,UCU5WmQA3Ur1Yriw5pMqoBNQ,24
